condition,gemma4b,llama3b,llama8b,qwen7b,llama70b,qwen72b,majority,majority_ci_lo,majority_ci_hi,p_vs_baseline,delta_vs_baseline
baseline,0.7133333333333334,0.6066666666666667,0.6666666666666666,0.7133333333333334,0.7666666666666667,0.7333333333333333,0.72,0.6433420194970179,0.7856706792788659,,0.0
bss,0.6933333333333334,0.5533333333333333,0.6066666666666667,0.7066666666666667,0.7,0.7266666666666667,0.7066666666666667,0.6293750243784035,0.7736369047746994,0.7984533987928447,-0.013333333333333308
warning_only,0.6866666666666666,0.62,0.6,0.66,0.76,0.72,0.7,0.6224187104297283,0.7675928339119842,0.7026771883676266,-0.020000000000000018
critical,0.7266666666666667,0.5466666666666666,0.6,0.7,0.7733333333333333,0.78,0.74,0.6644342013432283,0.8035796518668268,0.6964351279240102,0.020000000000000018
critical_cot,0.6266666666666667,0.6,0.6066666666666667,0.6533333333333333,0.76,0.76,0.74,0.6644342013432283,0.8035796518668268,0.6964351279240102,0.020000000000000018
critical_bss,0.6866666666666666,0.5266666666666666,0.5533333333333333,0.6866666666666666,0.72,0.76,0.74,0.6644342013432283,0.8035796518668268,0.6964351279240102,0.020000000000000018
