condition,gemma4b,llama3b,llama8b,qwen7b,llama70b,qwen72b,pooled
baseline,0.2727272727272727,0.4126984126984127,0.3968253968253968,0.21212121212121213,0.24285714285714285,0.2676056338028169,0.29896907216494845
bss,0.14545454545454545,0.09523809523809523,0.09523809523809523,0.15151515151515152,0.12857142857142856,0.1267605633802817,0.12371134020618557
warning_only,0.18181818181818182,0.19047619047619047,0.25396825396825395,0.15151515151515152,0.17142857142857143,0.18309859154929578,0.18814432989690721
critical,0.18181818181818182,0.1746031746031746,0.2222222222222222,0.12121212121212122,0.14285714285714285,0.09859154929577464,0.15463917525773196
critical_cot,0.05454545454545454,0.47619047619047616,0.31746031746031744,0.045454545454545456,0.12857142857142856,0.08450704225352113,0.18298969072164947
critical_bss,0.12727272727272726,0.12698412698412698,0.14285714285714285,0.13636363636363635,0.15714285714285714,0.07042253521126761,0.12628865979381443
