condition,gemma4b,llama3b,llama8b,qwen7b,llama70b,qwen72b,pooled
baseline,0.34146341463414637,0.4094488188976378,0.3064516129032258,0.2196969696969697,0.2536231884057971,0.28776978417266186,0.30140485312899107
bss,0.17073170731707318,0.09448818897637795,0.1532258064516129,0.18181818181818182,0.11594202898550725,0.18705035971223022,0.15070242656449553
warning_only,0.1951219512195122,0.1968503937007874,0.25,0.1590909090909091,0.1956521739130435,0.2014388489208633,0.19923371647509577
critical,0.21138211382113822,0.2204724409448819,0.24193548387096775,0.14393939393939395,0.17391304347826086,0.18705035971223022,0.19540229885057472
critical_cot,0.04878048780487805,0.3937007874015748,0.3225806451612903,0.03787878787878788,0.18840579710144928,0.08633093525179857,0.17752234993614305
critical_bss,0.11382113821138211,0.10236220472440945,0.12096774193548387,0.14393939393939395,0.15217391304347827,0.14388489208633093,0.13026819923371646
