condition,gemma4b,llama3b,llama8b,qwen7b,llama70b,qwen72b,majority,majority_ci_lo,majority_ci_hi,p_vs_baseline,delta_vs_baseline
baseline,0.6266666666666667,0.54,0.6133333333333333,0.7333333333333333,0.72,0.6666666666666666,0.6266666666666667,0.5470043657114055,0.7000029457050124,,0.0
bss,0.7933333333333333,0.8933333333333333,0.82,0.7666666666666667,0.8733333333333333,0.7666666666666667,0.7666666666666667,0.6928407309593593,0.8271746614962575,0.008352917531545875,0.14
warning_only,0.7466666666666667,0.7466666666666667,0.72,0.8,0.7733333333333333,0.7533333333333333,0.7333333333333333,0.6573840257093969,0.7976294426892675,0.047670380656161644,0.10666666666666658
critical,0.74,0.7533333333333333,0.7333333333333333,0.8,0.8,0.7666666666666667,0.7333333333333333,0.6573840257093969,0.7976294426892675,0.047670380656161644,0.10666666666666658
critical_cot,0.94,0.56,0.6533333333333333,0.94,0.8,0.8866666666666667,0.84,0.772958942656478,0.8900606827244333,2.9425984036184077e-05,0.21333333333333326
critical_bss,0.8466666666666667,0.88,0.8466666666666667,0.8,0.8266666666666667,0.8066666666666666,0.7866666666666666,0.7143779835916132,0.8446385632981747,0.002339017439891152,0.15999999999999992
